AAR	Scare Marla badly (5)
NOME	Bad omen for an Alaskan town (4)
NONAGON	Lunch time eating:  an annoyance for figure (7)
NONCE	Starts to name Olivia Newton-John "Country Entertainer" for the time being (5)
NONCHALANT	Cool cat on an NHL shot (10)
NONE	Zero, an unknown amount, one (4)
NONHALANT	Composed no new note in song (10)
NONLINEAR	Crooked Nile ran on, just not in a straight line (9)
NONPROFIT	Sent off info to npr.org? (9)
NONREADER	Rev. Spooner says "The person massaging Reagan is illiterate" (3-6)
NONREMUNERATIVE	Remain on venture, perhaps unprofitable (15)
NONVIOLENT	Peaceful Navy on Ukraine's base, wearing purple (10)
NOOK	Lacking approval to construct alcove? (4)
NOOK	Recess authorization refused (4)
NOOSE	Gallows gear so one swings (5)
NORAD	Cheyenne Mountain installation produces radon mixture (5)
NORIEGA	After time, press brought back Central American leader (7)
NORMA	Translated Roman name for a woman (5)
NORTH	Oliver, and not Thomas, Hardy's monogram (5)
NORTH	Upward in Aspen (or thereabouts) (5)
NORTHER	Windy storms, and not the end of thunder, Sunday (8)
NORTHSEA	Body of water Sheraton spoiled (5,3)
NORWEGIAN	Scandinavian in awe on Niger's redevelopment (9)
NORWEGIAN	Scandinavian wearing no buckles (9)
NOS	Pronounced ability to smell negative votes (3)
NOSE	It figures prominently in Cyrano's embarrassment! (4)
NOSED	Running back Deon "Hauls A Little" Sanders moved with caution (5)
NOSEGAY	Rev. Spooner's horse says "Hello" for flowers (7)
NOSEOUT	Narrowly beat or oust one, oddly (4,3)
NOSEPIECE	Relative takes funny pose on glass bridge? (9)
NOSES	Bouquets of flowers, freshly opened (5)
NOSES	Caught carrying oregano's essence in inhalers (5)
NOSEWHEEL	To pry into turn-around for aircraft support (9)
NOSEY	Yes. No. Maybe. Getting personal (5)
NOSHOW	One not appearing to eat lightly: round woman (2-4)
NOSIER	More meddlesome and louder without me (6)
NOSINESS	Numbers in curve creating curiosity (8)
NOTABLE	Prominent invalid (7)
NOTABLE	Why the restaurant wouldn't seat celebrity? (7)
NOTARY	Express disagreement with judge about a witness (6)
NOTCH	Lacking energy, no Tech win (5)
NOTE	Echo of English school shown in memo (4)
NOTE	Observe the outer banks of North Platte (4)
NOTEBOOK	Computer type to be encrypted in nook (8)
NOTED	Observed no Knight (5)
NOTES	Steno erratically scribbles (5)
NOTHING	Drink has little zip (7)
NOTONYOURLIFE	No way! No, Mr. Blair, our position must include France (3,2,4,4)
NOTORIOUS	Infamous Ms. Spelling: "Nothing's within reason!" (9)
NOTREDAME	Remote and barbarous Irish school (5,4)
NOTRUMP	Bid in bridge is not the end (2-5)
NOUN	Substantive part of sixteen ounces (4)
NOURISH	Foster charged in hours (7)
NOVEL	Five in Christmas story (5)
NOVEL	Just found Carol nipping a little vodka (5)
NOVELLA	Starburst adorns wing of building's story (7)
NOVICES	No bad habits for beginners (7)
NOVICES	Trainees' ads make TV (7)
NOWAYJOSE	Emphatic rejection of one joy was unusual (2,3,4)
NOWISE	Not at all what Oedipus was left with, we hear (6)
NRA	Ran amok, with club for a weapon (3)
NU	Spartan character is declared modern (2)
NUANCE	Subtle quality of recently arrived relatives from England remarked (6)
NUBILE	Sexually mature cubs stripped in Egyptian river (6)
NUCLEON	Central matter for physicists luncheon: rocks releasing hydrogen (7)
NUDETEDIMMER	Section of menu describes what was once called flesh (4); [2]; Pouring millions into industrial mold registered as not so bright (6)
NUDGE	German overwhelmed by naked touch (5)
NUDIST	Man of the cloth in stud? Perhaps it's the opposite? (6)
NUDIST	Maniac holds up Sid, the sun-worshipper (6)
NUDISTS	Underworld boss can be found among crazy sun-worshippers (7)
NUDITY	Nakedness is untidy, perhaps (6)
NUGATORY	Rev comes back with a conservative of little importance (8)
NUISANCE	Can use in-style obnoxious act (8)
NUISANCE	Something annoying is found in delicate distinction (8)
NUISANCES	Pests in a census? Distorted. (9)
NUKE	An atomic bomb is no instrument to use on an island (4)
NULL	Never underestimate "lovely" Lolita, starting to be bad (4)
NUMBERING	Counting what the anesthetist does while covering emergency room (9)
NUMBERS	Many ethers (7)
NUMBERS	Some freezing? (7)
NUMEN	It might reside in monument! (5)
NUN	Pious woman in underground hideaway (3)
NUNCIO	Religious representative from U. Conn I converted (6)
NUNNERY	Convent firing: good leader replaced by unknown (7)
NUPTIAL	Alien put in L.A. marriage (7)
NURSE	Some puppies running the wrong way to suckle (5)
NURSE	Take a long time to finish translating runes (5)
NURSERS	The very young at times dash around seniors with energy (7)
NUTS	Darn fanatics (4)
NYE	Louis the 4th of France sure is short (3)
NYLON	Common thread uniting New York and half of London (5)
NYLON	Only worked on new fabric (5)
OAHU	Hugo (a hurricane) swallows island (4)
OAHU	Noah understands protecting an island (4)
OAR	Crew member is one in operating room (3)
OARSWOMAN	Brew component's aromas now blending (9)
OASIS	Paradise is nothing like this (5)
OAT	First of all, taste a grain (3)
OATMEAL	Breakfast food at dinner, perhaps (7)
OATMEAL	Reduce a male to mush (7)
OATS	Ransacked Taos for Silver treat (4)
OBEDIENCE	Once around plot of ground that is a kind of dominion (9)
OBESE	... to be seen showing fold of fat  (5)
OBESE	Robe's eyelet exposes more than fat (5)
OBI	Baby doctor I give belt (3)
OBI	Sash for initiates of Order of Blooming Idiots (3)
OBI	Shinto binding preserves traditional trimming in Tokyo (3)
OBLATIONS	One general is retiring from duties and sacrifices (9)
OBLIGATED	Constrained big deal to Assembly (9)
OBLITERATE	Rub off plastic a bit, to leer (10)
OBLITERATE	Wipe out Osama Bin Laden; repeat (10)
OBLITERATION	Old bishop educated class on annulment (12)
OBSCENITY	Staggering by, notices something offensive (9)
OBSCURE	Mysterious obstetrician's remedy (7)
OBSERVANT	Attentive old bachelor, one who waits on others (9)
OBSERVE	Awfully verbose notice (7)
OBSERVE	Edit verbose note (7)
OBSERVER	One seeing an obstetrical nurse? (8)
OBSESSED	Fanatical uprising cleans out box office with no resistance (8)
OBSOLETE	Female doctor with only a couple of teeth is not up-to-speed (8)
OBTAIN	Get in boat tipsy (6)
OBTAINERS	Gainers demonstrated by swimming baritones (9)
OCALA	Ring around Louisiana and part of Florida (5)
OCARINA	Instrument component removed from turbo car in accident (7)
OCCASIONED	Work code casino originated (10)
OCEAN	Canoe lost in sea (5)
OCEAN	Sea canoe foundered (5)
OCEAN	We hear actress Talia is less forthcoming (5)
OCEANS	Canoes traveling the seven seas (6)
OCELOTKDPAMS	Cat backs up to the French company (6); [6]
OCT	Cot is unmade for short month in fall (3)
OCTANE	Act One: silly number at a gas station (6)
OCTET	Ensemble originally formed with ocarina, cello, theremin, euphonium, & tabla (5)
OCTET	Four couples (once twenty, oddly) (5)
OCTET	Musical group, once committed, tried encouraging the beginners (5)
OCTOBER	Doc to be remodeling houses this month (7)
OCTOBER	Mistakenly reboot C: in spooky month (7)
OCTOPUS	Multi-branched organization of old policemen nabbing you, ultimately (7)
OCULAR	Seen at Duke or UCLA (6)
ODDER	Feed all but the first stranger (5)
ODDER	Mr. Foxx returns with stranger (5)
ODDS	No dentist offers chances (4)
ODDS	These numbers can be even; these numbers cannot be even (4)
ODDSMAKERS	Crazed dames, dorks, and bookies (10)
ODDSON	Better than even a strange boy? (4-2)
ODE	Audibly outstanding poem (3)
ODE	Pieces of modernist poetry (3)
ODEON	Love hiding in lair beneath old Greek theater (5)
ODESSA	Does a cryptic after drinking a bit of sweet port on the Black Sea (6)
ODESSA	Passed ordinances about laid-back Russian city (6)
ODESSA	Poetic odes sang in Texas and Ukraine. (6)
ODIN	War god running through flooding (4)
ODIST	Poet Eliot, with vow to make comeback (5)
ODNANCE	Law losing one of its long arms? (8)
ODOMETERS	Fumes about Dole's devices (often rigged) that display progress in moving forward (9)
ODORHOMESICK	Inhale too much operating room aroma (4); Provincial person embracing some trouble is nostalgic (8)
ODORS	Smells renovated doors (5)
OFFBEAT	Old French act involving British eccentric (7)
OFFCHANCE	A slight possibility of actor Jackie taking one's place in office (3,6)
OFFED	Sound frequently killed (5)
OFFED	Whacked repeatedly in the ear (5)
OFFENSE	Outfield swamps East team, scoring all the points (7)
OFFICER	Patrolman's rice? (7)
OFFISH	Shy of many aquatic creatures (6)
OFT	Frequently, dictator's murdered (3)
OFTEN	Decimal, in many cases (5)
OFTEN	Frequently decimal? (5)
OGRESSES	Monstrous women go back before river curves (8)
OHM	Rohmer hiding unit of Resistance (3)
OHMAN	Pièce de résistance an expression of despair? (2,3)
OILBURNER	Heater refueler brings in fire (3,6)
OILED	Defeated after losing leader, gets plastered (5)
OILED	Retro eatery has nothing covered in grease (5)
OILIER	More unctuous, more pious (lacking the beginning of humility), filled with ego (6)
OILWELL	Leo will upset wildcatter's quest (3,4)
OINK	Sound from a pen starting to ooze ink (4)
OINKING	Zero writing for "humble" Wilbur's speech? (7)
OINKS	Zero publicity on lifers' final remarks from the pen (5)
OLDMAID	Mild ado about a card game (3,4)
OLDSCRATCH	The devil used money? (3,7)
OLEANDER	Skinny-dipped in German River Nerium (8)
OLEANDERS	Bushes put the kibosh on Reno's deal (9)
OLEANDERS	Shrubs dot the French mountain range, providing a tinge of russet (9)
OLIVE	Disgusting donut turned a greenish color (5)
OLIVE	I love chewing up Mediterranean fruit (5)
OLIVER	Sacks with a little onion and liver (6)
OLIVIER	British actor in Rocky VII role (7)
OLIVIER	One in Dickens role is Sir Laurence (7)
OLLIE	Stan's partner is central to Follies (5)
OMAR	A bit of oleomargarine for General Bradley (4)
OMBUDSMAN	Dumb moans cracked up investigator of complaints (9)
OMEGA	Foreign character smuggled in some garbanzos (5)
OMEGA	The last letter from Greece, with ZIP, is one half megabyte (5)
OMEN	No males will give warning (4)
OMICRON	Small microphone in or on Greek character (7)
OMINOUS	Gloomy pizza maker taking day off around middle of January (7)
OMISSION	Failure to mention old occupation (8)
OMJXBN	Add pepper to fabulous meal (6)
OMSK	Chessdom's Kasparov embraces Russian city (4)
ONBOARD	Pervert and boor, agreed? (2,5)
ONCE	Formerly managed Cone (4)
ONCE	Formerly one in a hundred? Just the opposite! (4)
ONCEAWEEK	CEO Kane we agitated every Friday, as one example (4,1,4)
ONCEMORE	Love McEnroe, beaten again (8, 2 wds.)
ONDAHSADFA	Nothing is not applicable to lawyer; Wise Spice; Imperfection of principle appears after failure
ONE	11d-27a-5d
ONEACTER	Arranged encore at Albee's "Zoo Story," e.g. (3-5)
ONEAL	A Gore follows a Ryan (5)
ONEARMEDBANDITS	Ring close to medical group hits topless Vegas attractions (3-5,7)
ONEIDA	One "B. Wells" is a member of the Iroquois confederacy (6)
ONEILL	A sick playwright! (6)
ONEILL	A single sick playwright (6)
ONELDERPREEN	Performing number the wrong way; Bush Senior; Pride oneself on note written in pen
ONEND	Without letup? I need limits (2,3)
ONENIGHTSTAND	Designed dashing ten-ton pick-up (3-5,5)
ONENIGHTSTAND	Fling an item of furniture (3,5,5)
ONEROUS	Imposing put our nose out of joint (7)
ONESTAR	Love nest a real sign of being pretty easy (3-4)
ONESTEP	Dance to old home recording (3 4)
ONGOING	Arrangement for noon gig is in progress (7)
ONLY	Just conclusions doubly drawn from Saigon folly (4)
ONSIDE	French wave is back in, ready for play (6)
ONSLAUGHT	Assault on S&L comes to nothing (9)
ONTAP	First-class puzzle originally from Ontario is available (2,3)
ONTARIO	Oration garbled in Canadian province (7)
ONTHEGO	Staying in front, he got moving (2,3,2)
ONTHELINE	At risk using the phone (2,3,4)
ONTHENOSE	Exactly where the ugliest pimples grow (2,3,4)
ONTO	About to decipher 'Loony Toon' (4)
ONTO	Aware of features in moon topography (4)
OODLES	Lots of little dogs without leads (6)
OOZE	Sticky issue of liquor after breakfast (4)
OPACIFICATION	End of Oslo peace process making things less clear (13)
OPAL	Jewel displayed by upwardly mobile L.A. politician (4)
OPEN	Frank comes from regressive part of gene pool (4)
OPEN	Release central to hiphop energy (4)
OPENAIR	Knot a rope in the great out-of-doors (4-3)
OPENAIR	Uncovered some letters written back in Sumerian epoch (4-3)
OPENLETTER	Public message: Sea animal's eating writer with a pair of Levis (4,6)
OPENS	Unlocks nuclear propensities (5)
OPENSESAME	Nothing restrains energy like a surefire method (4,6)
OPENSESAME	Passport for entry to Oman restricts English correspondent (4,6)
OPERA	.
OPERA	Fondant, or usual filling, for donut?
OPERA	Work a rope trickily (5)
OPERATE	Musical drama based on "The Heartless Act" (7)
OPERATES	Runs into interloper at escalator (8)
OPERATING	Music drama can go endlessly on (9)
OPERATION	A memorable time in alternative business (9)
OPERATION	Exercise choice over a period of time (9)
OPERATION	Pi, notably, interrupts open computer process (9)
OPERATIVE	Spy on (9)
OPERATIVES	Surprisingly pare Soviet agents (10)
OPIATE	Hopi at event sampling drug (6)
OPINE	Speak out, long after love (5)
OPINING	Thinking of love and longing (7)
OPINION	Personal belief: IPO in no trouble (7)
OPRAH	Daytime TV show one of the Marx brothers brought back (5)
OPRAH	One of the Marx brothers making a comeback as talk show host (5)
OPRAH	Silent entertainer comes around and turns into talkative one (5)
OPTIC	Left in tonic, it poisons sight (5)
OPTICAL	Iridescent stone contains quirk having to do with vision (7)
OPTIMUM	Choose one chrysanthemum; it's the best that can be done (7)
OPTS	Selects zero points (4)
OPUS	Eat dinner and donut,returning to work (4)
ORAL	Concerning speech from leaders of opposition Republicans, attacking liberals (4)
ORALROBERTS	Questionable realtor robs preacher (4,7)
ORALS	Certain tests of integrity after losing face (5)
ORANGEADE	Agreed on a mixed drink (9)
ORANGES	Also-ran gestates, bearing fruit? (7)
ORANGUTAN	Operator dialed Bhutan, cutting off the first big ape (9)
ORANGUTAN	University boards tailless orange and light brown ape (9)
ORATED	Spoke out, and scored (6)
ORATION	Hamlet's friend, losing his head in part, gives speech (7)
ORBIT	Revolution -- or small-time? (5)
ORBITAL	Describing the moon's journey to Libra in a confusing way (7)
ORBITING	Periodically traveling around Oregon with tart (8)
ORBITS	Paths all the way around quaint bistro (6)
ORCHARD	Place to grow fruit trees, or a leafy veggie (7)
ORCHARDS	Fields of fruit or vegetables (8)
ORCHESTRA	Ensemble torches tram's interior (9)
ORCHESTRA	Something in a pit or trunk with radium (9)
ORDINAL	Word in a lexicon describing kind of number (7)
OREGANO	King Lear's daughter bathed in oranges and spice (7)
OREGON	Gore, on heading to central location in state, . . . (6)
ORES	Forest stripped for minerals (4)
ORESTES	No rest, essentially, has a divinely-troubled Greek (7)
ORGAN	Algerian city has grand musical instrument (5)
ORGANIC	Plant-based compound sprinkled on cigar (7)
ORGANIC	http://www.science.org, an icon featuring a type of chemistry (7)
ORGANISMS	Beings massing or migrating (9)
ORIENTAL	Stumbling into Lear from the east (8)
ORIGAMI	Doctor Igor, aim for a paper-folding process (7)
ORIGINATE	Found jumbo rig in a teamster's parts (9)
ORION	. . . or working with one group of stars (5)
ORISON	Group of stars gathers Sunday for prayer (6)
ORLEANS	On the other hand, spare second French town (7)
ORLEANS	Strangely, Salerno is a city in France (7)
ORMOLU	Dubious gold trim in unopened dorm has Lou confused (6)
ORNAMENTS	Graces or christens covering over New Testament (9)
ORNERY	Grumpy sits in corner, yelling (6)
ORPHCUS	A legendary string player, he joins us after turning professional (7)
ORSON	Bean or boy (5)
OSCAR	Globe's automobile award (5)
OSCAR	Madison's statue (5)
OSCARS	Accolades for film debuts of Oliver Stone, Cher, and Rod Steiger (6)
OSCULATE	Kiss louse - act flustered (8)
OSIER	Roughs up Rosie with willow branch (5)
OSLO	Goddess lives twice (4)
OSTRACA	Mad at Oscar for broken pottery, writing on it (7)
OSTRICH	Christo redesigned Big Bird (7)
OTHELLO	Old Testament greeting for Moorish general (7)
OTHELLO	Play overtime..."What have we here?" (7)
OTHER	...or stuffed with the alternative (5)
OTHER	At heart, now, the lady's different (5)
OTHER	Mom going topless--that's something else (5)
OUI	Agreement in French we pronounced (3)
OUIJA	Board relaying messages in France and Germany for sure(5)
OUNCE	.
OUNCE	At one time, gobbling up two tablespoons (5)
OUNCE	Bounce bounce's leader in weight (5)
OUNCE	Discard most of pickle
OUST	Headless horseman's maneuver to unseat (4)
OUSTING	Ejection of Jack from medieval competition (7)
OUT	15a-18d-1d
OUTDOOR	Al Fresco is to do our cooking (7)
OUTDOOR	Ring twice in ramshackle tudor having no roof (7)
OUTED	Native American involved in drug problem exposed (5)
OUTER	Route around exterior (5)
OUTFIELDER	Baseball player foolishly fueled riot (10)
OUTGROWTH	Consequence of upsetting thug or two (9)
OUTINGS	Ignore the first of itineraries for excursions (6)
OUTNUMBER	Be more than mad: burn me out (9)
OUTOFSEASON	Bugs may occasionally affect this condition, which is too unsafe & so in need of doctoring (3,2,6)
OUTPLAYED	Cast update: Loy gave a superior performance (9)
OUTPOST	Where junior diplomats are sent to spout off (7)
OUTREACHES	Attempts to help, perhaps, bizarre pains?  (10)
OUTREACHES	Attempts to help, perhaps, bizarre pains?  (7)
OUTSHINE	Tower above ramshackle tin house (8)
OUTSIDE	Remodeled studio with a touch of erotica on the exterior (7)
OUTSIZE	..."to I Zeus, drunk and exceptionally large (7)
OUTSMART	Turning sour, Matt is overcome by superior wit (8)
OUTSTRUP	Pull ahead of others in contest, after beginning southern journey (8)
OVA	Eggs on vacillating assembly's leaders (3)
OVA	Partial approval for eggs (3)
OVARIES	Nothing changes in reproductive organs (7)
OVERACTS	Cats upset after Rover loses head and chews the scenery (8)
OVERAGE	Too old for insurance protection without a cap (7)
OVERAGE	Undercover agents concealing surplus (7)
OVERAWE	Standing in clover, a well-fed cow (7)
OVERBLOWN	Love brown bananas well past prime (9)
OVERBLOWN	Pretentious old verb, humble noun (9)
OVERCAST	TV Co.'s are playing "Ain't No Sunshine" (8)
OVERCOATS	Nothing, absolutely (almost) nothing, disturbs cool guys' covers (9)
OVERCUT	Ancient history part is excessively trimmed (7)
OVERDOING	Stretching to far, covering(missing the front)holds down nothing 9)
OVERDOSE	After lover is decapitated, does punk shoot up too much? (8)
OVERDUE	Again Italian couple is late (7)
OVERDUE	Terribly dour, Eve is late (7)
OVEREATEN	Stuffed 05 before a 10 (9)
OVERESTIMATE	I make love behind highest peak, first stripped, mounted by round, bloated figure (12)
OVEREXCITE	Stimulate too much headless passion, say, about ten (10)
OVEREXERTS	Limited by revotes cast, king strains too hard (10)
OVERHEARUSER	Accidentally get what sounds like it's not there (8); Head is named in serious error (4)
OVERRATE	Blow up revolutionary coming back in to make a speech (8)
OVERREACH	Exaggerate your turn on project (9)
OVERSEES	Manages foreign broadcast (8)
OVERSIGHT	Sigh in the midst of plain neglect (9)
OVERSIGHTS	Lovers' fights, under the surface, involve signs of forgetfulness (10)
OVERSLEPT	Aroused lovers kept heading off and stayed in bed too long (9)
OVERSLEPT	Solver, tossing and turning with sick pet, didn't wake up in time (9)
OVERSPENT	Waste pores vent exhausted resources (9)
OVERSPILL	Have too much juice without starting Viagra? (9)
OVERT	Discover treasure hiding in plain sight (5)
OVERTONE	Suggestion for person not working for the CIA? (9)
OVERTONES	Suggestions for obvious singles (9)
OVERTRAIN	Frank comes to fall practice a lot (9)
OVERTURN	Check the underside of conspicuous vase (8)
OVERTURN	Rescind a proposal when error becomes seen at last (8)
OVERTURN	Topple open coffeepot (8)
OVERTURNING	Upsetting visible vase, spilling gin (11)
OVINE	An ox or a cow after the first of sheep (5)
OVOID	Nothing empty can assume shape of an egg (5)
OVOID	Nothing, nothing in shape (5)
OWE	Life preserver we have an obligation to offer (3)
OWEDRENT	We put in overtime chasing contrary nerd responsible to landlord (4,4)
OWLS	Hooters only wants large-breasted servers up front (4)
OWLS	Topless chicks in Hooters (4)
OWN	Dominate pervert now  (3)
OWNED	Had dressed formally without a hat (5)
OWNER	How Nero holds one in control (5)
OWNER	Topless drag queen at Windsor Castle, say (5)
OXPVUIPS	Untidy woman gets serious about Latin (8)
OYSTERS	Storey's fantastic seafood (7)
OZARKLBA	Aussie's land craft range (5); [3]
OZONE	Ocean region's pure refreshing air (5)
PACER	Reflective review of lead horse (5)
PAGES	Leaves summons (5)
PAGODA	Father's retention's / a god in the pavilion, / the sacred tower (6)
PAH	Grampa Henry represses interjection (3)
PAINING	Father, before introducing guests, is out-and-out embarrassing?  Just the opposite! (7)
PAINT	Glass of beer contains a colorant (5)
PAINT	Pat's boxing in makeup! (5)
PAIR	Third of children adopted by average couple (4)
PALATE	Dish has a distinct taste (6)
PALATE	Pennsylvania: long overdue for taste (6)
PALAVER	Chat with pal and make a declaration (7)
PALENES	Lack of color in heraldic shield stripe on cape (8)
PALING	Picket is growing faint (6)
PALISADE	Buddy is a defensive end, a bulwark against Raiders (8)
PALLBEARE	We hear Mr. Anka is wearing fewer clothes as a funeral participant (10)
PALM	Dad, with L&M in hand (4)
PALOMAR	Friend with Sharif in a good place to see stars up close (7)
PALOOKA	Dad, look!  A big ape! (7)
PALPABL	Two friends, consuming some beer, at first extremely obvious (8)
PALPITATE	Strongly beat and leapt at Pit Bull(9)
PALS	Boosted smack, friends (4)
PALSY	Splay out and make tremble (5)
PALTRY	Little buddy, have a go (6)
PAM	Plan to return with woman (3)
PANACEA	Criticize one single remedy (7)
PANACEA	Cubano bread: one taste of that, it cures everything (7)
PANACHE	Give a bad review to Pain in style (7)
PANACHE	Sore after criticism of style (7)
PANDORA	One from China has a couple of orgasms with a famously curious woman  (7)
PANELED	Wooden seemed ordinary around Nebraska (7)
PANELIST	Plate, roll for forum participant (8)
PANIC	Terror flick about a madman's end (5)
PANORAMAS	Father and mother's embracing Nora in pictures (9)
PANORAMIC	Hunk from Japan or a Micronesian broad (9)
PANS	Gives a bad review to picture that's coming up (4)
PANTHER	(Gasp!) That woman's being like a leopard from the tropics (7)
PANTYWAIST	Weakling, with wit past any stranger (10)
PAPARAZZI	Father to give Bronx cheer to first of international photographers (9)
PAPERADORE	Report about gym is average; Notice minerals, Love
PAPRIKA	Irk Papa severely with sweet pepper seasoning (7)
PARADOX	Word for which this isn't a clue? (7)
PARADOXES	They're hard to reconcile, Turkey Day displays featuring beef (9)
PARANOIA	Delusions of roughly spoken person who bothers couples (8)
PARAPET	Coming unglued at paper battlement (7)
PARASITE	Freeloader manipulated a sea trip (8)
PARASITISM	Invading backward kingdoms - it is a rapacious way of living off others (10)
PARED	Put two together? (Just skinned the fruit.) (5)
PARENT	Mom, for one, is glaring after Dad turns and leaves (6)
PARK	Settle standard kilometer (4)
PARKA	Wraps father's chest inside (6)
PARKED	Necked in a car with rake, put out; caught by Police Department (6)
PARKINGLOT	Mean monarch comes by chance to where he leaves his car (7,3)
PARLAYED	Deviously repay lad for bet with winnings from previous wager (8)
PAROCHIAL	A fantastic bird in a glass container is provincial  (9)
PARQUETED	Left carrying what in Barcelona was inlaid with wood (9)
PARSE	Analyze rotten pears (5)
PARSEC	Capers wildly for great distance (6)
PARSEC	Long distance carrier at first following resolve (6)
PARSEC	Overplump arse conservatively spans a good 3 light-years (6)
PARSONAGE	Page keeps lighting fires in church building (9)
PARTHENON	Ten orphans pointlessly wander around the Acropolis. (9)
PARTIED	Norm even had a good time (7)
PARTINGSHOTS	Stop trashing eccentric with sarcastic retorts (7,5)
PARTISAN	Passionate follower of undiscovered pop art is angry (8)
PARTNER	Law office biggie shows average golf score, returning dollars for quarters? (7)
PARTRIDGE	Share chain of hills with pear tree percher? (9)
PASSENGER	A driven person, Ness left wearing a beeper (9)
PASSENGER	Washed-up press agent, having dropped client's butt, is not the one in the driver's seat (9)
PASSIM	Here and there Im going after a sexual advance (6)
PASSIM	Let the next person go, I'm everywhere (6)
PASSION	Love Spain so terribly (7)
PASSOUT	Faint pout encompasses beast of burden (4,3)
PASTA	High-carb food starts to provide a significant training advantage (5)
PASTA	Prepared tapas and noodles (5)
PASTEUR	French scientist tears up plays (7)
PASTIME	Father's time for hobby (7)
PASTOR	Page American financier and clergyman (6)
PASTRAMI	After sheep, I may make brisket (8)
PASTRY	Dads judge tarts (6)
PASTURE	A saint partitioning unadulterated grass  (7)
PATCH	Small area of land for unchanging Chinese (5)
PATHETIC	Pitiful route name turned up (8)
PATRIARCHAL	Bend in Pennsylvania court case related to revered founder (11)
PATRON	Mrs. Nixon, Reagan's client (6)
PATRONAGE	Nixon-Reagan era political appointments (9)
PATRONIZES	Frequents a strip zone when drunk (10)
PATTERN	Tapping the rear of fashion model (7)
PATTERN	The sound of raindrops--last thing in plan for a guide (7)
PAWN	Man on board battleship 'Iowa' saw action finally (4)
PEACE	Quiet part in recital (5)
PEACEFUL	Stirring a cup, feel serene (8)
PEACENIK	I can peek around war protester (8)
PEACEOFMIND	Fancied poem composed in comfort (5,2,4)
PEAKS	For Summits, speak out of order (5)
PEANUTS	Strip legumes (7)
PEAR	Each grabs a fruit (4)
PEAR	Fruit peel peal? (4)
PEAR	Ripe artichokes, sandwiches, fruit (4)
PEARL	Ring around red gem (5)
PECAN	Tippecanoe is home to a nut (5)
PECK	Kiss a sovereign reportedly (4)
PECK	Rock music college group finishes, returning kiss (4)
PECULIAR	Characteristic muddle I clear up (8)
PEDAL	Audibly push lever (5)
PEDAL	Ride with hawk on the air (5)
PEDANTIC	Bookish Dan is captivated by quote Penny read back (8)
PEDDLE	Sell part of a bicycle orally (6)
PEDDLES	Sells rides on a bicycle, from the sound of it (7)
PEDESTRIAN	Street walker with ruffled red panties (10)
PEDIATRIC	Patricide possibly associated with children's health (9)
PEDIGREED	Deep dirge played for one of unimpeachable heritage (9)
PEDLAR	Disabled list occupies fruit seller (6)
PEEK	Hold up with brief glance (4)
PEELS	Sleep around in sheds (5)
PEEP	Look quickly both ways (4)
PEEPING	Sneaking a look at someone making a little noise (7)
PEERESS	Noble lady even spies earl, eh, sis? (7)
PEEVES	Irritates Berties valet with a new cap (6)
PEKE	Pesky little varmint! Keep out! (4)
PEKOE	Starts to prepare every kind of European tea (5)
PENCHANTS	Desires charm, in afterthought (9)
PENCILVAINIA	Fetish for puzzling in ink and pen. A civilian is splattered? (12)(12)
PENITENT	Returned prodigal is incarcerated about 1:10 (8)
PENNAME	This author's written under "Jillette", a pseudonym (3,4)
PENNANTS	Expressed atonement for major-league beatings? (8)
PENTAGON	Write name on five-sided figure (8)
PENTAGONESE	Sent one page rewritten in military lingo (11)
PEPE	Two Penthouse centerfolds with shortening: a Looney Tunes stinker? (4)
PEPSICOLA	Episcopal mixed drink (9)
PEPSICOLA	Mixed a Popsicle with soda (5,4)
PERCAPITA	Pita with pickled caper for each person (3,6)
PERDITION	According to one published version, Dante ultimately escapes hell (9)
PERDU	Lost down in Peru (5)
PERI	Beautiful girl in danger? Not quite (4)
PERMEATE	Penetrate through flesh with energy (8)
PERMISSIVE	Authorizing each letter (10)
PERMIT	Authorize instruction for hair stylists? (6)
PERSISTENT	Lasting prettiness is elusive (10)
PERSONABLE	Goalkeepers on a bleacher keeping warm (10)
PERUSER	Examiner for each drug addict (7)
PERUSER	One who reads each consumer (7)
PERUSERS	According to drug addicts' examiners (8)
PESET	Spain's change set inside green ball (6)
PESSIMISTS	One young woman, going in the wrong direction, surrounded by annoyances and people with a negative attitude (10)
PESTER	Annoy, primarily provoking elder sibling to exasperated reaction (6)
PESTER	Rep set out to annoy (6)
PETTICOAT	Favorite obsession, love touching undergarment (9)
PHALAROPE	Birds beginning to peck heads in the manner of a Hitchcock movie (9)
PHANTASM	Triumphant, as military displays spirit (8)
PHARAOH	"An old Egyptian," Mia said (7)
PHARMACIES	Outspoken one cultivating spots for drug sites (10)
PHARMACY	Drugstore chap confused about appendage next to Jimmy's butt (8)
PHENOMENA	Marvels discovered in chemical test of overturned anemone (9)
PHILANDER	Popular doctor and Eleanor, having no heart, engage in many affairs (9)
PHILATELY	Greek character now collecting stamps (9)
PHLEGM	Pinch hit by the French general manager produces cool indifference (6)
PHONE	(See 27A)(5)
PHONEME	Call me a representative of a sound in a language (7)
PHONETAG	Pathogen spread headache to many office workers (5,3)
PHONEY	Imitation food produced from flower nectar is topped off with phosphorus (6)
PHOTOS	In in returned gift pictures (6)
